No. De pregunta,TIPO DE PREGUNTA,PREGUNTA,OPCIÓN A,OPCIÓN B,OPCIÓN C,OPCIÓN D,OPCIÓN E (OPCIONAL),RESPUESTA CORRECTA,,,,,Modulo/Capitulo (Tags),RELEVANTE,CALIDAD,CLASIFICADA CORRECTAMENTE,RESPUESTA CORRECTA VÁLIDA,FRAGMENTO,BLOOM,DISC,DIFICULTAD,AZAR ,NIVEL DEL CURSO
1,Multiple Choice,"¿Qué etiqueta semántica de HTML5 es la más adecuada para agrupar el contenido principal de una página web excluyendo encabezados, menús y pies de página?",<section>,<main>,<article>,<div>,,B,,,,,1.2 Estructura y Semántica,Sí,5,Sí,Sí,La etiqueta <main> representa el contenido dominante y único de la página.,Comprender,1.50,1.20,0.2,Beginner
2,Multiple Choice,"Al definir la estructura de un formulario, ¿qué atributo de la etiqueta <input> se utiliza para mostrar un texto temporal de ayuda antes de que el usuario escriba?",required,value,placeholder,title,,C,,,,,1.5 Formularios,Sí,5,Sí,Sí,El atributo placeholder muestra un texto gris de ejemplo dentro del input.,Recordar,1.50,1.20,0.2,Beginner
3,Multiple Choice,"Si necesitas insertar una imagen en tu documento HTML y asegurarte de que sea accesible para lectores de pantalla, ¿qué atributo es estrictamente necesario incluir?",src,alt,title,href,,B,,,,,1.4 Enlaces e Imágenes,Sí,5,Sí,Sí,El atributo 'alt' provee texto alternativo esencial para accesibilidad.,Aplicar,1.50,1.20,0.2,Beginner
4,Multiple Choice,"Dentro del formato de texto en HTML, ¿cuál es la diferencia semántica principal entre las etiquetas <strong> y <b>?",<strong> aplica negrita visualmente y <b> indica importancia semántica grave.,"<strong> indica importancia o urgencia semántica, mientras que <b> solo aplica negrita visual.",Ambas tienen exactamente el mismo propósito semántico y visual en HTML5.,<strong> se usa para bloques de texto grandes y <b> para palabras individuales.,,B,,,,,1.3 Texto y Formato,Sí,5,Sí,Sí,"En HTML5, strong es semántico (importancia) y b es puramente presentacional.",Analizar,1.50,1.20,0.2,Beginner
5,Multiple Choice,¿Cuál es la sintaxis correcta para declarar un comentario en un documento HTML5?,// Este es un comentario,/* Este es un comentario */,<!-- Este es un comentario -->,<comment> Este es un comentario </comment>,,C,,,,,1.1 Introducción a HTML5,Sí,5,Sí,Sí,Los comentarios en HTML inician con <!-- y terminan con -->.,Recordar,1.50,1.20,0.2,Beginner
6,Multiple Choice,¿Qué tipo de input en un formulario HTML5 es el adecuado si deseas que el usuario seleccione una única opción excluyente de una lista visible en pantalla?,"<input type=""checkbox"">","<input type=""select"">","<input type=""radio"">","<input type=""button"">",,C,,,,,1.5 Formularios,Sí,5,Sí,Sí,El tipo 'radio' permite selección excluyente dentro de un grupo con el mismo 'name'.,Aplicar,1.50,1.20,0.2,Beginner
7,Multiple Choice,"Al utilizar enlaces (<a>) en HTML, ¿cómo se define una ruta absoluta para dirigir al usuario a un sitio externo?","href=""/pages/contacto.html""","href=""contacto.html""","href=""https://www.google.com""","src=""https://www.google.com""",,C,,,,,1.4 Enlaces e Imágenes,Sí,5,Sí,Sí,Rutas absolutas incluyen el protocolo completo (https://).,Comprender,1.50,1.20,0.2,Beginner
8,Multiple Choice,"¿Qué par de etiquetas se utiliza correctamente para definir una lista ordenada donde los elementos aparecen numerados (1, 2, 3...)?",<ul> y <li>,<ol> y <li>,<dl> y <dt>,<list> y <item>,,B,,,,,1.3 Texto y Formato,Sí,5,Sí,Sí,<ol> (ordered list) genera listas numeradas y <ul> listas con viñetas.,Recordar,1.50,1.20,0.2,Beginner
9,Multiple Choice,"¿Cuál de los siguientes selectores CSS aplica estilos únicamente a un elemento HTML que posea el atributo id=""principal""?",.principal { color: red; },principal { color: red; },#principal { color: red; },*principal { color: red; },,C,,,,,2.3 Selectores,Sí,5,Sí,Sí,El símbolo # se utiliza en CSS para referenciar un ID.,Aplicar,1.50,1.20,0.2,Beginner
10,Multiple Choice,"En el modelo de caja (Box Model) de CSS, ¿cuál es el orden correcto de las capas desde el contenido hacia el exterior del elemento?","Contenido, Padding, Borde, Margen","Contenido, Margen, Padding, Borde","Contenido, Borde, Padding, Margen","Contenido, Borde, Margen, Padding",,A,,,,,2.5 Layout básico,Sí,5,Sí,Sí,Box model: Contenido interno -> Padding (relleno) -> Border -> Margin (espacio exterior).,Recordar,1.50,1.20,0.2,Beginner
11,Multiple Choice,¿Qué pseudoclase de CSS se utiliza para aplicar un estilo a un botón exactamente en el momento en que el usuario pasa el cursor del ratón por encima?,:active,:focus,:visited,:hover,,D,,,,,2.3 Selectores,Sí,5,Sí,Sí,La pseudoclase :hover detecta el puntero del ratón sobre el elemento.,Aplicar,1.50,1.20,0.2,Beginner
12,Multiple Choice,Deseas definir un tamaño de fuente relativo que cambie proporcionalmente según el tamaño de fuente configurado en la etiqueta raíz (<html>). ¿Qué unidad de medida debes usar?,em,rem,px,vh,,B,,,,,2.4 Colores y Unidades,Sí,5,Sí,Sí,'rem' (root em) es relativo al font-size del elemento raíz <html>.,Analizar,1.50,1.20,0.2,Beginner
13,Multiple Choice,¿Cuál es la forma recomendada y más eficiente de aplicar estilos CSS a un sitio web de múltiples páginas?,Usar el atributo 'style' en cada etiqueta HTML.,Incluir una etiqueta <style> en el <head> de cada archivo.,"Enlazar un archivo externo con la etiqueta <link rel=""stylesheet"">.",Escribir los estilos directamente dentro del archivo JavaScript.,,C,,,,,2.2 Inclusión de recursos,Sí,5,Sí,Sí,CSS externo (External) permite reusabilidad y limpieza de código.,Comprender,1.50,1.20,0.2,Beginner
14,Multiple Choice,"En CSS, al utilizar el sistema de colores RGBA, ¿qué función cumple el cuarto valor (A)?",Define el contraste del color.,Define el nivel de opacidad (canal alfa).,Aplica un filtro anti-aliasing al color.,Ajusta la saturación cromática.,,B,,,,,2.4 Colores y Unidades,Sí,5,Sí,Sí,El canal Alpha (A) maneja la opacidad de 0.0 (transparente) a 1.0 (sólido).,Recordar,1.50,1.20,0.2,Beginner
15,Multiple Choice,"¿Qué propiedad de CSS se utiliza para convertir un contenedor en un layout flexible, permitiendo alinear y distribuir sus elementos hijos horizontal o verticalmente?",display: block;,display: inline;,display: flex;,position: absolute;,,C,,,,,2.5 Layout básico,Sí,5,Sí,Sí,Flexbox se activa asignando display: flex al contenedor padre.,Aplicar,1.50,1.20,0.2,Beginner
16,Multiple Choice,"Si agrupas selectores en CSS como 'h1, h2, p { color: blue; }', ¿qué efecto tendrá en el documento HTML?",Aplicará color azul solo a los <p> que estén dentro de un <h2>.,"Aplicará color azul a todos los <h1>, <h2> y <p> del documento.",Provocará un error de sintaxis al mezclar etiquetas de texto.,Aplicará color azul al primer elemento que encuentre en el DOM.,,B,,,,,2.3 Selectores,Sí,5,Sí,Sí,La coma permite aplicar la misma regla a múltiples selectores.,Comprender,1.50,1.20,0.2,Beginner
17,Multiple Choice,"En JavaScript, ¿cuál es la diferencia fundamental entre el operador de igualdad (==) y el de igualdad estricta (===)?","'==' compara tipo de dato y valor, mientras que '===' solo compara el valor numérico.","'==' convierte los tipos de dato antes de comparar el valor, mientras que '===' no hace conversión de tipos.","'===' es utilizado exclusivamente para comparar objetos y arreglos, no primitivos.","No existe ninguna diferencia funcional, '===' es solo un estándar moderno de ES6.",,B,,,,,3.3 Operadores,Sí,5,Sí,Sí,El operador === compara valor y tipo sin hacer coerción.,Analizar,1.50,1.20,0.2,Beginner
18,Multiple Choice,"Dada la palabra clave 'const' introducida en ES6, ¿qué sucede si intentas reasignar un nuevo valor a una variable primitiva definida con const?",El nuevo valor se asigna correctamente en el entorno de ejecución global.,El intérprete arroja un TypeError por intentar reasignar una constante.,La variable se convierte automáticamente a tipo 'let'.,El navegador ignora la línea de código y continúa la ejecución.,,B,,,,,3.2 Variables y Tipos,Sí,5,Sí,Sí,Las variables const no pueden ser reasignadas tras su inicialización.,Aplicar,1.50,1.20,0.2,Beginner
19,Multiple Choice,¿Cuál es el método nativo del DOM en JavaScript que selecciona y devuelve el primer elemento del documento que coincida con un selector CSS específico?,document.getElementById(),document.querySelector(),document.getElementsByClassName(),document.querySelectorAll(),,B,,,,,3.8 DOM,Sí,5,Sí,Sí,querySelector retorna el primer nodo que coincida con el selector CSS.,Recordar,1.50,1.20,0.2,Beginner
20,Multiple Choice,"Al trabajar con arreglos en JS, ¿qué método permite extraer una porción del arreglo original (creando uno nuevo) sin modificar el arreglo original?",splice(),push(),slice(),shift(),,C,,,,,3.7 Arreglos,Sí,5,Sí,Sí,"slice() retorna una copia superficial de una porción del array, splice() sí lo modifica.",Analizar,1.50,1.20,0.2,Beginner
21,Multiple Choice,"En JavaScript, ¿cuál de los siguientes es un tipo de dato primitivo válido?",Array,Object,Function,Boolean,,D,,,,,3.2 Variables y Tipos,Sí,5,Sí,Sí,"Los tipos primitivos incluyen Boolean, Number, String, Null, Undefined.",Recordar,1.50,1.20,0.2,Beginner
22,Multiple Choice,"Si deseas detener la ejecución de un ciclo 'for' antes de que termine su iteración natural, ¿qué palabra reservada debes utilizar?",continue,stop,break,return,,C,,,,,3.4 Estructuras de Control,Sí,5,Sí,Sí,La sentencia break termina la ejecución del bucle envolvente más interno.,Aplicar,1.50,1.20,0.2,Beginner
23,Multiple Choice,"Al manejar excepciones en código asíncrono o propenso a errores, ¿qué bloque de código se ejecutará SIEMPRE, sin importar si ocurrió un error o no?",El bloque try,El bloque catch,El bloque finally,El bloque throw,,C,,,,,3.9 Manejo de Errores,Sí,5,Sí,Sí,finally se ejecuta de manera incondicional tras el try o catch.,Recordar,1.50,1.20,0.2,Beginner
24,Multiple Choice,"Al utilizar Template Literals (plantillas de cadenas) en JS moderno, ¿qué sintaxis se usa para incrustar el valor de una variable dentro de la cadena?",+ variable +,${variable},#{variable},%variable%,,B,,,,,3.6 Strings,Sí,5,Sí,Sí,Se usa el símbolo de dólar y llaves ${} dentro de los backticks (` `).,Aplicar,1.50,1.20,0.2,Beginner
25,Multiple Choice,"Para ejecutar una función específica cuando un usuario hace clic en un botón del DOM, ¿cuál es el método recomendado y moderno?",boton.onclick = funcion();,"boton.addEventListener('click', funcion);",boton.addClick(funcion);,"boton.bindEvent('click', funcion);",,B,,,,,3.8 DOM,Sí,5,Sí,Sí,addEventListener es el estándar para escuchar eventos del DOM.,Aplicar,1.50,1.20,0.2,Beginner
26,Multiple Choice,¿Qué hace exactamente el operador lógico OR (||) al evaluar dos expresiones en un bloque 'if'?,Retorna verdadero solo si ambas expresiones son verdaderas.,Retorna verdadero si al menos una de las expresiones es verdadera.,Invierte el valor booleano de la segunda expresión.,Verifica que ambas expresiones sean exactamente del mismo tipo.,,B,,,,,3.3 Operadores,Sí,5,Sí,Sí,El operador OR lógico retorna true si cualquiera de sus operandos es true.,Comprender,1.50,1.20,0.2,Beginner
27,Multiple Choice,"Para separar un String en un arreglo de subcadenas utilizando un carácter separador (ej. una coma), ¿qué método de la clase String debes emplear?",replace(),substring(),split(),slice(),,C,,,,,3.6 Strings,Sí,5,Sí,Sí,split() divide un objeto de cadena en un array de cadenas al separar la cadena en subcadenas.,Aplicar,1.50,1.20,0.2,Beginner
28,Multiple Choice,"A diferencia de JavaScript ejecutado en el navegador, ¿qué característica no posee JavaScript cuando se ejecuta de forma pura en un entorno como Node.js (según los fundamentos de ejecución)?",No soporta la sintaxis de ciclos for o while.,No tiene acceso nativo al DOM (Document Object Model) ni a 'window'.,No puede declarar variables usando let o const.,No puede operar con arreglos o colecciones.,,B,,,,,3.1 Introducción,Sí,5,Sí,Sí,"Node.js no tiene navegador, por ende no existe el DOM ni el objeto window.",Analizar,1.50,1.20,0.2,Beginner
29,Multiple Choice,"En el contexto de la Máquina Virtual de Java (JVM), ¿cuál es el propósito principal del Java Runtime Environment (JRE)?",Proporcionar el entorno completo para compilar y ejecutar código fuente (.java).,Proveer únicamente las librerías base y la JVM necesarias para ejecutar aplicaciones compiladas (.class).,Convertir el código Java directamente en lenguaje ensamblador del sistema operativo destino.,Actuar como un entorno de desarrollo integrado (IDE) gráfico para programadores.,,B,,,,,4.1 Introducción a Java,Sí,5,Sí,Sí,El JRE solo ejecuta código; el JDK incluye el JRE más las herramientas de compilación.,Comprender,1.50,1.20,0.2,Beginner
30,Multiple Choice,"En la Programación Orientada a Objetos en Java, ¿qué diferencia clave existe entre la sobrecarga (overloading) y la sobrescritura (overriding) de métodos?",La sobrecarga ocurre en métodos con el mismo nombre y mismos parámetros; la sobrescritura cambia el nombre del método.,La sobrecarga altera la implementación de un método heredado; la sobrescritura crea métodos con el mismo nombre pero diferentes parámetros en una misma clase.,La sobrecarga ocurre en la misma clase con diferentes firmas (parámetros); la sobrescritura modifica el comportamiento de un método heredado en una subclase.,"No existen diferencias, ambos términos son sinónimos técnicos en el compilador de Java.",,C,,,,,4.6 Programación Orientada a Objetos,Sí,5,Sí,Sí,"Sobrecarga (misma clase, distintos params). Sobrescritura (subclase, misma firma).",Analizar,1.50,1.20,0.2,Beginner
31,Multiple Choice,"Al definir la visibilidad de atributos en Java para lograr el Encapsulamiento, ¿qué modificador de acceso permite que un atributo sea visible solo dentro de su propia clase?",public,protected,private,default (package-private),,C,,,,,4.7 Modificadores y Paquetes,Sí,5,Sí,Sí,El modificador 'private' restringe el acceso a miembros exclusivamente a la clase donde se definen.,Recordar,1.50,1.20,0.2,Beginner
32,Multiple Choice,"¿Qué palabra reservada se utiliza en Java para referirse a la instancia actual del objeto dentro de un constructor o método, resolviendo conflictos de nombres de variables?",super,this,static,final,,B,,,,,4.6 Programación Orientada a Objetos,Sí,5,Sí,Sí,La palabra reservada 'this' hace referencia al objeto que invoca el método o constructor.,Recordar,1.50,1.20,0.2,Beginner
33,Multiple Choice,"Si declaras un método con la palabra reservada 'static' en Java, ¿qué característica fundamental adquiere dicho método?",No puede devolver ningún tipo de valor (void obligatoriamente).,Solo puede ser invocado si se ha instanciado un objeto de esa clase.,Pertenece a la clase en sí y puede invocarse sin instanciar ningún objeto.,Garantiza que no lanzará excepciones durante su ejecución.,,C,,,,,4.5 Métodos,Sí,5,Sí,Sí,"Los métodos estáticos pertenecen a la clase, no a instancias de objetos individuales.",Comprender,1.50,1.20,0.2,Beginner
34,Multiple Choice,¿Cuál es la principal limitación técnica de usar Arreglos (Arrays tradicionales) en Java comparado con el uso de un ArrayList?,Los arreglos tradicionales no soportan tipos primitivos como int o char.,Los arreglos tradicionales tienen un tamaño fijo definido en su creación y no pueden crecer dinámicamente.,Un ArrayList es mucho más rápido para realizar cálculos matemáticos puros.,Los arreglos tradicionales no pueden ser iterados mediante un ciclo for-each.,,B,,,,,4.9 Colecciones básicas,Sí,5,Sí,Sí,Los arrays primitivos en Java tienen longitud inmutable. ArrayList crece dinámicamente.,Analizar,1.50,1.20,0.2,Beginner
35,Multiple Choice,"Para comparar si dos objetos de tipo String tienen exactamente la misma cadena de texto en Java, ¿cuál es la práctica correcta?",Usar el operador relacional '==',Usar el método 'cadena1.equals(cadena2)',Usar el operador aritmético '+',Usar el método 'cadena1.compareTo(cadena2)' que devuelve boolean,,B,,,,,4.8 Strings,Sí,5,Sí,Sí,"En Java, '==' compara referencias de memoria, mientras que '.equals()' compara el contenido de la cadena.",Aplicar,1.50,1.20,0.2,Beginner
36,Multiple Choice,"Al trabajar con la clase HashMap en Java, ¿cómo se almacenan y acceden los elementos en esta colección?",Como una lista secuencial de elementos indexada por enteros consecutivos.,Como un conjunto sin orden garantizado de elementos únicos (sin claves).,"Como pares de clave-valor (Key-Value), donde la clave debe ser única.",Como un árbol binario que ordena los datos alfabéticamente.,,C,,,,,4.9 Colecciones básicas,Sí,5,Sí,Sí,"HashMap implementa la interfaz Map, almacenando elementos en pares (Key, Value).",Recordar,1.50,1.20,0.2,Beginner
37,Multiple Choice,"¿Qué pilar de la Programación Orientada a Objetos permite que un objeto de una clase hija sea tratado como un objeto de su clase padre, facilitando la extensibilidad del código?",Encapsulamiento,Polimorfismo,Abstracción,Sobrecarga estática,,B,,,,,4.6 Programación Orientada a Objetos,Sí,5,Sí,Sí,El polimorfismo permite que una referencia de clase padre apunte a un objeto de clase hija.,Comprender,1.50,1.20,0.2,Beginner
38,Multiple Choice,"Dentro del bloque try-catch-finally para manejo de excepciones en Java, ¿cuál es el comportamiento principal de la sentencia 'throw'?",Atrapar y resolver automáticamente un error no anticipado.,Asegurar la liberación de recursos (cerrar archivos o conexiones).,Lanzar explícitamente una excepción desde el código.,Detener la ejecución completa de la JVM.,,C,,,,,4.10 Excepciones,Sí,5,Sí,Sí,La palabra clave throw permite al programador instanciar y lanzar una Excepción manualmente.,Aplicar,1.50,1.20,0.2,Beginner
39,Multiple Choice,"Dada la inmutabilidad de la clase String en Java (se crea un nuevo objeto en cada modificación), ¿qué clase debes utilizar si necesitas concatenar o modificar texto repetidamente en un ciclo de manera óptima?",StringBuffer,StringBuilder,TextModifier,StringArray,,B,,,,,4.8 Strings,Sí,5,Sí,Sí,"StringBuilder es una secuencia de caracteres mutable y no sincronizada, ideal para concatenaciones repetitivas rápidas.",Aplicar,1.50,1.20,0.2,Beginner
40,Multiple Choice,¿Cuál es la firma (declaración) obligatoria e inalterable que debe tener el método principal en Java para que la JVM inicie la ejecución del programa?,public void startProgram(String[] args),private static void main(String args),public static void main(String[] args),protected main(String args[]),,C,,,,,4.1 Introducción a Java,Sí,5,Sí,Sí,La firma public static void main(String[] args) es el Entry Point universal de Java.,Recordar,1.50,1.20,0.2,Beginner
